movieid,title,genres
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
3578,Gladiator (2000),Action|Adventure|Drama
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
4226,Memento (2000),Mystery|Thriller
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
3793,X-Men (2000),Action|Adventure|Sci-Fi
4963,Ocean's Eleven (2001),Crime|Thriller
4995,"Beautiful Mind, A (2001)",Drama|Romance
33794,Batman Begins (2005),Action|Crime|IMAX
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
5989,Catch Me If You Can (2002),Crime|Drama
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX
59315,Iron Man (2008),Action|Adventure|Sci-Fi
48516,"Departed, The (2006)",Crime|Drama|Thriller
68954,Up (2009),Adventure|Animation|Children|Drama
4011,Snatch (2000),Comedy|Crime|Thriller
4022,Cast Away (2000),Drama
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
68157,Inglourious Basterds (2009),Action|Drama|War
6365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
109487,Interstellar (2014),Sci-Fi|IMAX
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
3949,Requiem for a Dream (2000),Drama
